293,Artists International Association,8,20th century 1900-1945,"Le Sphinx	Le Sphinx, 4 a.m. Verso: Three figure drawings	Bombed Women and Searchlights	Portrait of a Worker	Blitz: Plane Flying	The Means Test	Empire Builders	Leicester Square	The Means Test 2	Quiet Evening	Soldier, Soldier	The Street	The Fall of London: Waterloo	The Fall of London: Through the City	The Fall of London: The Horseguard	His Majesty's Servants	The Fall of London: Museum	The Fall of London: Corner House	The Fall of London: London Bridge	The Family	Gosfield Street Murder	The Fall of London: The Colosseum	The Station	The Fall of London: Looters	Parr's Stores	The Cinema	The Theatre"
294,Bauhaus,8,20th century 1900-1945,Study for Homage to the Square: Beaming	Study for Homage to the Square	Swinging	Study for Homage to the Square	Untitled Abstraction V	Homage to the Square: Study for Nocturne	Study for Homage to the Square: Departing in Yellow	K VII	Comedy	A Young Lady's Adventure	Delta	Beta	Homeward	Circle	White Line Square IV
295,Bloomsbury Group,8,20th century 1900-1945,"Still Life on Corner of a Mantelpiece	Helen Dudley	Interior at Gordon Square	The Kitchen	Frederick and Jessie Etchells Painting	The Mantelpiece	Queen of Sheba	Abstract Painting	Essay in Abstract Design	The Basket of Fruit	Mandolinist	Still Life: Flowers	The Ass	The Tub	Merry-Go-Round	Head of Eve	Garden Path in Spring	Studland Beach. Verso: Group of Male Nudes by Duncan Grant	The Tub	Venus and Adonis	Mrs St John Hutchinson	Landscape with Shepherd, near Villa Madama, Rome	Bridge over the Allier	Still Life with T'ang Horse	River with Poplars	Landscape, Sussex	Interior with a Table	Portrait of a Woman	Nude	The Artist's Mother	Lady Strachey	Lemon Gatherers	The Queen of Sheba	South of France	Violin Case and Flowers	Girl at the Piano	Portrait of a Girl	Chrysanthemums	Jewish Family	Acrobats	Lady Ottoline Morrell	Bathing	Football	Lytton Strachey. Verso: Crime and Punishment	James Strachey	Pheasants	The Servant Girl	The Hayrick	Vanessa Bell	The Tea Pot	Dancers	Still Life with Carrots	Untitled	Washerwoman	Interior	Standing Woman	[title not known]	Rock-cut Church, Aubeterre	Notre Dame, Clermont Ferrand	A Staircase / Narbonne	Rock-cut Church, Saint Emilion	Elne	Arles sur Tech	Cluny Museum, Paris	Trinity College Library, Cambridge	Baroque Altar, Perpignon"
296,Brücke,8,20th century 1900-1945,Bathers at Moritzburg	Woman with a Bag	Dr Rosa Schapire	Two Women	Male Head
297,Camden Town Group,8,20th century 1900-1945,"The Artist's Wife	La Hollandaise	Piccadilly Circus	Chateau d'Auppegard	Flowers in a Jug	Tea with Sickert	Girl at a Window, Little Rachel	North London Girl	The Fig Tree	Rule Britannia	Study for 'Ennui'	Attic Room	The Cinder Path	Harold Gilman	The Gas Cooker	Study for a Mural Decoration for 'The Cave of the Golden Calf'	A Singer at the Bedford Music Hall	Madeleine Knox	La Vieille Balayeuse, Dieppe	Victoria Embankment Gardens	Clarence Gardens	The Beanfield, Letchworth	From a Window in Cambrian Road, Richmond	Woman Washing her Hair	L'Américaine	The Café Royal	Tipperary	Mornington Crescent	Horse Sale at the Barbican	Waterfall	Ivy Cottage, Coldharbour: Sun and Snow	The Artist's Mother	The Cab Horse	Emergency Water Storage Tank	A Marengo	Letchworth	Leeds Market	Richmond Park	The Little Tea Party: Nina Hamnett and Roald Kristian	Snow in Pimlico	The Blacksmith's Shop	Flask Walk, Hampstead, on Coronation Day	Self-Portrait	Jacques-Emile Blanche	Porthleven	Houghton Place	Ennui	Roquefort	Swiss Cottage	Fried Fish Shop	Hartland Point from Boscastle	Dancing in the Street	Mrs Mounter at the Breakfast Table	Inez and Taki	The New Bedford	Ennui"
298,Constructivism,8,20th century 1900-1945,"T and Swallow	Linear Construction No. 2	Torsion (Project for a Fountain)	Composition in Yellow, Black and White	Swinging	Interrelation of Volumes	Construction on a Line	Model for 'Torsion'	Model for 'Construction in Space with Crystalline Centre'	Linear Form (curved)	Red Cavern	Model for 'Construction Through a Plane'	Linear Form (possible part of the model for the First Bijenkorf Project)	Circular Relief	Two Cubes (Demonstrating the Stereometric Method)	Model for 'Double Relief in a Niche'	Model for a 'Monument to the Unknown Political Prisoner'	Model for the Esso Project, Radio City, New York	Model for 'Spiral Theme'	Model for 'Column'	First Sketch for a Monument for an Institute of Physics and Mathematics	Sketch for a Mobile Construction	Model for Hanging Construction	First Model for a 'Monument to the Unknown Political Prisoner'	Linear Form (probably part of the model for the First Bijenkorf Project)	Model for Monument for an Airport	Model for 'Construction on a Line'	Model for a Construction at the Bijenkorf Building, Rotterdam	Model for 'Linear Construction No. 3 with Red'	Model for 'Construction in Space 'Crystal''	Model for 'Construction in Space, Suspended'	Model for 'Monument to the Astronauts'	Model for 'Construction in Space 'Two Cones''	Construction in a Niche	Model for Hanging Piece	Construction in Space 'Two Cones'	Torsion	Model for 'Spheric Theme'	Oval Sculpture (No. 2)	Landscape Sculpture	Drawing for 'Sculpture with Colour' (Forms with Colour)	The Autumn Crocus	Headland	Construction in Space: Diagonal	Construction: Stone with a Collar	Monument for an Airport	Construction in Space with Crystalline Centre	Construction in Space (Crystal)	Model for 'Rotating Fountain'	Red Stone	Model for 'Constructed Torso'	1939-44 (painted relief)	Sculpture with Colour (Deep Blue and Red)	Three Forms (Carving in Grey Alabaster)	Discs in Echelon	Pelagos	Painting	Forms in Echelon	Lines in Space No. 34	Three Forms	Single Form (Eikon)	Untitled	Pierced Hemisphere II	Lines in Space No. 3	Forms	Five Forms	Kinetic Construction (Standing Wave)	Structurist Relief, Red Wing No. 20	Bronze Spheric Theme	Cretan Queen	Spiral Theme	Antennae with Red and Blue Dots	Nude	Painting	Ile de France	Homage to Léger	K VII	Model for 'Construction in Space 'Arch''	Forms on Grey	Eight Forms and Three Circles	White Track	Ball, Plane and Hole	For the Facade of a Museum	No. 98 2478 Red/135 Green	Head No. 2	Relief Construction	Construction. Grey Lines on Pink Ground	Sobranie Collage	Untitled	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	Untitled	[no title]	[no title]	Untitled	[no title]	[no title]	Untitled	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	[no title]	Untitled	abstract 1936	Untitled	10. New Man	[title page]	3. Postman	5. Globetrotter (in Time)	9. Gravediggers	4. Anxious People	1. Part of the Show Machinery	8. Old Man (Head 2 Steps behind)	6. Sportsmen	7. Troublemaker	2. The Announcer	[no title]	[no title]	[no title]	[no title]	Opus 10	Opus 2	Opus 4	Opus 1	Opus 12	Opus 5	Opus 6	Opus 7	Opus 11	Opus 3	Opus 9	Opus 8"
299,Cubism,8,20th century 1900-1945,"Figure	Guitar Player in Armchair	Glass on a Table	Still Life	Large Horse	Clarinet and Bottle of Rum on a Mantelpiece	Windows Open Simultaneously (First Part, Third Motif)	Pipe and Domino	Still Life with Guitar	Overlooking the Bay	Bottle of Rum and Newspaper	Seated Harlequin	Bottle and Glass	Head of a Young Girl	Bowl of Fruit	Seated Bather	Seated Man with Clarinet I	Sculpture	Head	Still Life	The Lovers	Woman with a Coffee Pot	Interior with a Double Bass	Head of a Woman	Cubist Bust	The Billiard Table	Mandora	Coffee Mill	Painting	Bottle of Vieux Marc, Glass, Guitar and Newspaper	Bottle and Fishes	The Tree A	Portrait of Jacques Nayral	Sculpture	Bust of a Woman	Violin and Fruit-Dish	Rain	Seated Nude	1933 (guitar)	Venus	The Sunblind"
300,Dada,8,20th century 1900-1945,"According to the Laws of Chance	Portrait of Edison	Cadeau	New York	The Autumn Crocus	Dadaville	Opened by Customs	(Relief in Relief)	Torn-Up Woodcut	L'Enigme d'Isidore Ducasse	The Lovers	Ce qui manque à nous tous	Emak Bakia	The Art Critic	3 stoppages étalon (3 Standard Stoppages)	Fountain	Coffee Mill	The Fig-Leaf	Picture of Spatial Growths - Picture with Two Small Dogs	Red Wire Sculpture	The Bride Stripped Bare by her Bachelors, Even (The Large Glass)	Alarm Clock"
301,Der Blaue Reiter,8,20th century 1900-1945,Cossacks
303,Direct Carving,8,20th century 1900-1945,Head	Figure of a Woman	Mother and Child	Mask	Man with a Bird	The North Wind	St Sebastian	Crucifix	Ecstasy	Christ Child	Johanaan	Sculpture with Profiles	Fish	Composition	Half-figure	Figure	Model for Sculpture: The South Wind	Torso	Three Forms (Carving in Grey Alabaster)	Infant	Seated Figure	The Man Child	Oak Rhythm	Three Forms	Maternity	Eve	Jacob and the Angel	Fish	Two Forms	Four-Piece Composition: Reclining Figure	Swan	The East Wind	Venus	Girl	Mankind	Recumbent Figure	Torso
